Date,home_building_avg_prem_trend,home_contents_avg_prem_trend,motor_avg_prem_trend,commercial_avg_prem_trend,us_commercial_pricing_trend,uk_commercial_pricing_trend,eu_commercial_pricing_trend,uk_housing_index
,,,,,,,,
2001-03-31,,,,,,,,
2001-06-30,,,,,,,,
2001-09-30,,,,,,,,
2001-12-31,,,,,,,,
2002-03-31,,,,,,,,
2002-06-30,,,,,,,,
2002-09-30,,,,,,,,
2002-12-31,,,,,,,,
2003-03-31,,,,,,,,
2003-06-30,,,,,,,,
2003-09-30,,,,,,,,
2003-12-31,,,,,,,,
2004-03-31,100.0410361,100.0361549,99.8341181,,,,,
2004-06-30,101.4738333,100.7117549,100.0963698,,,,,
2004-09-30,102.9890125,101.4524168,100.3936247,,,,,
2004-12-31,104.3170539,102.0773722,100.74976,,,,,
2005-03-31,105.2656215,102.5367293,101.2453037,,,,,
2005-06-30,106.1668171,102.9678578,101.8110517,,,,,
2005-09-30,107.3528085,103.5888882,102.3183875,,,,,
2005-12-31,108.7288518,104.2362225,102.4799122,,,,,
2006-03-31,110.0806452,104.8033618,102.3414233,,,,,
2006-06-30,111.3140086,105.1536537,102.237488,,,,,
2006-09-30,112.5,105.5315327,102.3990128,,,,,
2006-12-31,113.6859914,106.0441393,102.9411765,,,,,
2007-03-31,114.8482969,106.7190608,103.748526,,,,,
2007-06-30,116.2237762,107.4472317,104.636775,,,,,
2007-09-30,117.9314234,108.2838263,105.4786782,,,,,
2007-12-31,120.0902323,109.3359851,106.2975456,,,,,
2008-03-31,121.7978795,109.8761789,107.0818593,,,,,
2008-06-30,122.2270471,109.4726375,107.8203757,,,,,
2008-09-30,123.4327769,109.5233207,108.8232552,,,,,
2008-12-31,127.511279,111.4935523,110.3340189,,,,,
2009-03-31,134.0638394,114.842497,112.1689291,,,,,
2009-06-30,140.6073765,117.9444409,113.9676402,,,,,
2009-09-30,145.4218362,119.5348688,115.2017003,,,,,
2009-12-31,149.5014663,120.4811702,115.8483477,,,,,
2010-03-31,154.10388,121.7206647,116.2739613,,,,,
2010-06-30,159.0604557,123.2058767,116.7472919,,,,,
2010-09-30,164.3023912,124.7167511,117.3012478,,,,,
2010-12-31,169.6638845,126.0928979,117.6818867,,,,,
2011-03-31,175.1421159,127.0372747,117.7507199,,,,,
2011-06-30,181.0483871,127.9277603,117.9122446,,,,,
2011-09-30,188.2111437,129.0877013,118.4774441,,,,,
2011-12-31,196.8215655,130.7608905,119.4002468,,100.0,100.0,100.0,
2012-03-31,206.6890368,133.0005774,120.4845742,,102.0,101.6,99.1,
2012-06-30,216.840176,135.3480464,121.6607706,,103.53,103.0224,99.7937,
2012-09-30,226.851455,137.6961571,122.9642123,,105.70413,105.082848,98.6959693,
2012-12-31,236.8102865,140.1770706,124.3482792,,107.9239167,106.7641736,98.99205721,
2013-03-31,246.5142116,142.6881376,125.6056493,915.2366323155701,110.2982429,105.6965318,99.28903338,
2013-06-30,255.4319874,144.8463463,126.4475524,915.165790393538,112.0630148,103.8996908,97.99827595,
2013-09-30,263.1637717,146.4111118,126.7821198,913.195025464372,114.1922121,102.2372957,95.84231387,
2013-12-31,269.2837807,147.3824341,126.735774,909.8819848530225,114.8773653,101.3171601,94.69220611,
2014-03-31,274.2414843,147.9495734,126.5396956,904.4774343168501,114.6476106,99.08818256,93.74528405,
2014-06-30,278.2489285,148.1112466,126.251474,886.4890574664873,113.7304297,96.61097799,88.21431229,
2014-09-30,281.6174148,148.0836595,125.7902098,871.0817355915822,113.6166993,92.07026203,83.71538236,
2014-12-31,284.4642454,148.03041,125.1095571,860.1133537439614,111.1171319,87.46674892,77.52044407,
2015-03-31,285.8634108,147.5716944,124.3367613,851.75459623671,108.8947893,83.09341148,72.32657431,
2015-06-30,285.3665689,146.4656444,123.6679007,845.9790007659815,106.4991039,77.11068585,68.56559245,
2015-09-30,284.0119558,145.0343235,123.4024407,840.456694072725,103.517129,70.55627755,65.48014079,
2015-12-31,283.1829461,143.8480785,123.7021802,831.9875627610364,99.79051235,67.02846368,62.14065361,
2016-03-31,283.5867358,143.065375,124.5446318,828.3054115085514,97.19595903,63.67704049,59.65502747,399.662062743131
2016-06-30,285.2701331,142.7683326,125.7323461,832.2969800941281,93.40531663,60.62054255,58.10399675,404.92617494535
2016-09-30,287.6658019,142.8761147,127.0357877,840.6055209143782,90.50975181,57.71075651,56.36087685,409.446840519182
2016-12-31,290.7500564,143.2276897,128.3968189,849.4965555523523,87.79445926,54.94064019,53.99372002,411.954001540898
2017-03-31,294.2121588,143.5240906,129.8384753,859.661996249398,86.47754237,52.30348947,51.67199006,415.544678754825
2017-06-30,297.889127,143.847437,131.3495132,872.4217108626007,84.22912627,50.10674291,50.48353429,416.848628212174
2017-09-30,301.4471013,144.2798486,132.9526944,888.2913604842729,81.78648161,48.75386085,48.91854473,420.005005256063
2017-12-31,305.4319874,145.4667351,134.6943645,906.100902809114,81.29576272,49.1926456,48.38044073,422.814697844746
2018-03-31,310.1263253,147.1655867,136.5742493,926.3758055792433,80.8892839,49.29103089,47.99339721,425.376194390782
2018-06-30,315.3479585,148.679669,138.5237899,945.1233241407042,80.8892839,49.68535914,47.27349625,426.549742064581
2018-09-30,320.3744642,149.5136973,140.4036748,965.1778811645207,80.56572677,50.62938096,46.56439381,428.937956860256
2018-12-31,324.7152042,149.7299031,142.1453449,991.9941861117957,80.88798968,51.13567477,47.26285971,428.084084106067
2019-03-31,328.5106023,149.9461089,143.7600439,1023.1829181295503,81.77775756,52.61860934,48.20811691,426.737338479463
2019-06-30,332.2580645,150.4587156,145.2710819,1055.8127640791279,85.70308992,55.93358172,49.17227925,429.668296689391
2019-09-30,335.9344688,150.8096491,146.6551488,1086.744021902386,91.18808768,62.53374437,51.23751497,430.522927633551
2019-12-31,339.729303,151.0521589,147.8892088,1108.3629538445011,100.6716488,71.10086735,54.61919096,431.319929966264
2020-03-31,343.4305211,151.2144736,148.9274647,1120.9256139433592,115.1683662,86.31645296,58.82486867,436.918384543166
2020-06-30,347.4908898,151.51568,149.8208277,1133.8124789482117,135.553167,112.6429711,67.5897741,438.339059081222
2020-09-30,351.9436225,151.9740506,150.665808,1146.0764735219627,159.5460776,150.7162953,77.86341976,445.705515898894
2020-12-31,356.3423294,152.4811896,151.4302619,1158.179581029284,186.5093647,216.7300327,88.68643511,458.880618557371
2021-03-31,,,,,212.9936944874,291.5018939815,100.2156716743,464.25223986635
